% Model:              Fundamental_Focused_Aluminum_Electrodes_300nm_3.4MHz_to_4.2MHz_1kHz_Stepping_Mechanical_Damping_Used_1e-3_1cm_Diam_Electrodes.mph
% Version:            COMSOL 5.0.1.276
% Date:               Feb 17 2021, 11:02
% Table:              Table 7 - Global Evaluation 1 (es2.Y11)
% freq (Hz)              20*log10(abs((1/es2.Y11 - 50)/(1/es2.Y11 + 50)))
3885000                  -0.3329037661122348
3886000                  -0.3133987689335121
3887000                  -0.28553405712853913
3888000                  -0.2659742898314705
3889000                  -0.2529876738650503
3890000                  -0.24273772763239976
3891000                  -0.2344416092923992
3892000                  -0.22844410663219594
3893000                  -0.22451942331893454
3894000                  -0.2223938567216719
3895000                  -0.22198337742638827
3896000                  -0.22427813916148095
3897000                  -0.22969130137252713
3898000                  -0.2408943024887815
3899000                  -0.2626350562211462
3900000                  -0.28955109008685453
3901000                  -0.32673999250189234
3902000                  -0.3933877770458883
3903000                  -0.4458761258919463
3904000                  -0.40996797950994945
3905000                  -0.3459355202513521
3906000                  -0.31429298827291485
3907000                  -0.2885212283577348
3908000                  -0.25412482709850476
3909000                  -0.23214137782036698
3910000                  -0.22214646092841
3911000                  -0.2188514033773601
3912000                  -0.217637496359248
3913000                  -0.22060130263674246
3914000                  -0.23079624832400225
3915000                  -0.25182386383909755
3916000                  -0.2908935383704178
3917000                  -0.36214542204425465
3918000                  -0.4816634887365776
3919000                  -0.606503061361392
3920000                  -0.5925548400624241
3921000                  -0.48420832966506905
3922000                  -0.39471806396636144
3923000                  -0.3285473874749612
3924000                  -0.28304786510274416
3925000                  -0.2593929273019402
3926000                  -0.24722311992019175
3927000                  -0.2456950884662434
3928000                  -0.2503841237814725
3929000                  -0.2533594129684438
3930000                  -0.25593135173720627
3931000                  -0.25835338776051686
3932000                  -0.26621949916199883
3933000                  -0.28524908029979357
3934000                  -0.311850126234019
3935000                  -0.327070196347372
3936000                  -0.33232657043862635
3937000                  -0.35207043638806496
3938000                  -0.3946610019592694
3939000                  -0.4695422555424239
3940000                  -0.5804434857693676
3941000                  -0.657039586774461
3942000                  -0.6595953631590602
3943000                  -0.6924951613766652
3944000                  -0.7911848680469853
3945000                  -0.9653101306656221
3946000                  -1.2512258995257317
3947000                  -1.7272409697003743
3948000                  -2.5582171221810617
3949000                  -4.098177532017899
3950000                  -6.946436603181175
3951000                  -10.645464162033878
3952000                  -8.375380661837417
3953000                  -4.91052621168997
3954000                  -3.049636077054631
3955000                  -2.067002932169481
3956000                  -1.5161143439404998
3957000                  -1.206657705960568
3958000                  -1.0390983355635632
3959000                  -0.9792544445145832
3960000                  -1.024684638201612
3961000                  -1.2078289819863341
3962000                  -1.615826923040009
3963000                  -2.4280263862524727
3964000                  -3.6085735940450645
3965000                  -3.6934039291482756
3966000                  -2.50688428889696
3967000                  -1.5945056498477799
3968000                  -1.0748001151488205
3969000                  -0.7849021901954827
3970000                  -0.6185435721651323
3971000                  -0.5189193284253869
3972000                  -0.46197545035425586
3973000                  -0.43110743123432915
3974000                  -0.4156993768388223
3975000                  -0.4246815635551127
3976000                  -0.47238457328388106
3977000                  -0.5837995194587274
3978000                  -0.7992916681846839
3979000                  -1.0583650659973556
3980000                  -1.0293390009147108
3981000                  -0.835653586881129
3982000                  -0.7826768660079728
3983000                  -0.8795337896383375
3984000                  -0.9879937230559467
3985000                  -1.0075557568794526
3986000                  -1.0964610248230524
3987000                  -1.2178806466093093
3988000                  -1.0272743180182868
3989000                  -0.7002214782388227
3990000                  -0.49289191269573196
3991000                  -0.38017928984043525
3992000                  -0.31294479904469963
3993000                  -0.2702377448179739
3994000                  -0.24097479963846236
3995000                  -0.22224519951885463
3996000                  -0.20996685515926444
3997000                  -0.20019584580622837
3998000                  -0.19321652162811453
3999000                  -0.19117079102032764
4000000                  -0.1951524509062934
4001000                  -0.20521125664992632
4002000                  -0.2172988052634078
4003000                  -0.2283606926106269
4004000                  -0.22726289844979072
4005000                  -0.22295470184728966
4006000                  -0.22452754539788902
4007000                  -0.23604596479266432
4008000                  -0.2588109946032644
4009000                  -0.292750736668102
4010000                  -0.3350193482587853
4011000                  -0.384550346002856
4012000                  -0.4563380237119533
4013000                  -0.5803888790903241
4014000                  -0.7981065351406823
4015000                  -1.1794414308704717
4016000                  -1.8073855847480222
4017000                  -2.427732343072519
4018000                  -2.3434570227505667
4019000                  -1.9836495955256392
4020000                  -1.7792593095831557
4021000                  -1.9477892171519668
4022000                  -2.5180055187440797
4023000                  -3.099151267460204
4024000                  -3.128952194515549
4025000                  -2.6895362269281216
4026000                  -2.0796680552216
4027000                  -1.3907719663483857
4028000                  -0.9267850238662474
4029000                  -0.664219347585952
4030000                  -0.5151051610020958
4031000                  -0.4243033223351611
4032000                  -0.3635308992781465
4033000                  -0.32296349807217717
4034000                  -0.2925922212477711
4035000                  -0.27424316991463243
4036000                  -0.2722072575748812
4037000                  -0.28917082478806727
4038000                  -0.32322302672126274
4039000                  -0.3526842240887573
4040000                  -0.3632605098312299
4041000                  -0.3892565016572178
4042000                  -0.4404479548075105
4043000                  -0.5102936953507542
4044000                  -0.5693015650317237
4045000                  -0.6073087704851147
4046000                  -0.615426814309171
4047000                  -0.6271492791706439
4048000                  -0.6155192748840668
4049000                  -0.5437773651285648
4050000                  -0.4900251024892256
4051000                  -0.43352923539413535
4052000                  -0.37442449353615104
4053000                  -0.3576032153271519
4054000                  -0.3740946646992583
4055000                  -0.3879867569684474
4056000                  -0.36476725384792846
4057000                  -0.34015504048692335
4058000                  -0.3431264435896645
4059000                  -0.38009376101822306
4060000                  -0.47122896205925807
4061000                  -0.569776614657841
4062000                  -0.5995542239736065
4063000                  -0.5458177374038025
4064000                  -0.44747957291388857
4065000                  -0.3659519248864054
4066000                  -0.32298459232163707
4067000                  -0.31469039135212457
4068000                  -0.34270235247717157
4069000                  -0.3877124389017192
4070000                  -0.40404910563948737
4071000                  -0.4234617909740439
4072000                  -0.5035262348078589
4073000                  -0.6108881681832549
4074000                  -0.6178470295733347
4075000                  -0.5725146819711152
4076000                  -0.5738138290320622
4077000                  -0.5662046828347135
4078000                  -0.5438625076502799
4079000                  -0.5163835853145862
4080000                  -0.47214204408809907
4081000                  -0.47283657454355
4082000                  -0.49867957045081895
4083000                  -0.4712310586110266
4084000                  -0.4116339924810431
4085000                  -0.3711545309688766
4086000                  -0.3781754223013346
4087000                  -0.4089469976567001
4088000                  -0.4126255612413731
4089000                  -0.4232700992350677
4090000                  -0.48445143163597265
4091000                  -0.5956289933610445
4092000                  -0.6919702855503729
4093000                  -0.6879196799989857
4094000                  -0.6153164981278486
4095000                  -0.5420638675324916
4096000                  -0.5013261302527636
4097000                  -0.5231435592040358
4098000                  -0.5754946244364059
4099000                  -0.5875267596454602
4100000                  -0.6147180889046497
4101000                  -0.7073946286079159
4102000                  -0.852999389588165
4103000                  -0.9856168801960861
4104000                  -1.1534671565523698
4105000                  -1.5158146015575396
4106000                  -2.025790017440305
4107000                  -2.368733409831684
4108000                  -2.1417808463954637
4109000                  -1.672477839656242
4110000                  -1.4532682411439328
4111000                  -1.4987537113650895
4112000                  -1.609381118765225
4113000                  -1.5706211113070434
4114000                  -1.3470554465388351
4115000                  -1.1854786889878357
4116000                  -1.0634525413893239
4117000                  -0.8767960769208976
4118000                  -0.6957009130257361
4119000                  -0.5854616520774392
4120000                  -0.535393334091055
4121000                  -0.5267686235083758
4122000                  -0.5731627976355612
4123000                  -0.6783474934419554
4124000                  -0.8335737588401912
4125000                  -0.9693416264109129
4126000                  -0.9656070306369925
4127000                  -0.8517259031547366
4128000                  -0.6631320327973109
4129000                  -0.5006176144831338
4130000                  -0.4037205539172798
4131000                  -0.33721950833430003
4132000                  -0.2792466182740471
4133000                  -0.23582777807566424
4134000                  -0.2147442606366577
4135000                  -0.20988065704606557
4136000                  -0.21677167893724547
4137000                  -0.2244664546529054
4138000                  -0.21625163562238592
4139000                  -0.20049128154727291
4140000                  -0.19734531623980936
4141000                  -0.2099834669517448
4142000                  -0.2281720150937136
4143000                  -0.24846940323818384
4144000                  -0.28088915259528807
4145000                  -0.31424319313338467
4146000                  -0.3175647356158359
4147000                  -0.30978385300338296
4148000                  -0.3301260756777883
4149000                  -0.3652416383722478
4150000                  -0.3796908310656306
4151000                  -0.3998304521627226
4152000                  -0.4322363660218758
4153000                  -0.4611422210014118
4154000                  -0.4753798578486335
4155000                  -0.5051481022231933
4156000                  -0.4967010784945812
4157000                  -0.42398177840593265
4158000                  -0.35859640428886796
4159000                  -0.3307057068530198
4160000                  -0.34028649293181396
4161000                  -0.352820536717516
4162000                  -0.34492414795999565
4163000                  -0.32379043429823917
4164000                  -0.2959862986097865
4165000                  -0.2766070029905771
4166000                  -0.2752921697651425
4167000                  -0.2805667085531466
4168000                  -0.28972250773807473
4169000                  -0.30858213421665387
4170000                  -0.3283614562883368
4171000                  -0.3524415624122932
4172000                  -0.3556389452195542
4173000                  -0.35773273904652403
4174000                  -0.39822386038436786
4175000                  -0.5021145546798292
4176000                  -0.6949623583872094
4177000                  -0.8905857845828802
4178000                  -0.8653296691916239
4179000                  -0.6858662906069491
4180000                  -0.5614807786037692
4181000                  -0.5164763597714795
4182000                  -0.4929809647538264
4183000                  -0.4746171711345951
4184000                  -0.4484462338295948
4185000                  -0.42948046938042767
4186000                  -0.4577082695327686
4187000                  -0.5073778422743156
4188000                  -0.5099138968084428
4189000                  -0.48467788779271265
4190000                  -0.46688423733663753
4191000                  -0.4377292960310858
4192000                  -0.4049916423787773
4193000                  -0.384428024949086
4194000                  -0.37801539024648734
4195000                  -0.3786185748782242
4196000                  -0.33929587390451427
4197000                  -0.28944515689119976
4198000                  -0.2702673279727519
4199000                  -0.2834094300369914
4200000                  -0.3068052679740952
